character,dialog,movie
Sam,You don't mean that. You can't leave.,The_Return_of_the_King
Frodo,The last pages are for you Sam.,The_Return_of_the_King
Saruman,"So you have come here for information. I have some for you. Something festers in the heart of Middle Earth. Something that you have failed to see. But the great eye has seen it! Even now he presses his advantage. His attack will come soon. You are all going to die! But you know this don't you Gandalf? You cannot think that this Ranger will ever sit upon the throne of Gondor. This exile, crept from the shadows will never be crowned King. Gandalf does not hesitate to sacrifice those who are closest to him' those he professes to love! Tell me, what words of comfort did you give the Halfling before you sent him to his doom? The path that you have set him on can only lead to death.",The_Return_of_the_King
Gimli,I've heard enough! Shoot him! Stick an arrow in his gob!,The_Return_of_the_King
Gandalf,No! Come down Saruman and your life will be spared!,The_Return_of_the_King
Saruman,Save your pity and your mercy. I have no use for it!,The_Return_of_the_King
Gandalf,Saruman'.. your staff is broken!,The_Return_of_the_King
Theoden,Grima! You need not follow him! You were not always as you are now. You were once a man of Rohan. Come down.,The_Return_of_the_King
Saruman,A man of Rohan? What is the house of Rohan but a thatched barn where brigands drink in the reek and their brats roll on the floor with the dogs? The victory at Helms Deep does not belong to you Theoden Horse Master. You are a lesser son of greater sires!,The_Return_of_the_King
Theoden,Grima'. Come down! Be free of him!,The_Return_of_the_King
Saruman,Free? He will never be free!,The_Return_of_the_King
Grima,No!,The_Return_of_the_King
Frodo_Voice-over,"My dear Sam, you cannot always be torn in two. You will have to be one and whole for many years. You have so much to enjoy and to be and to do. Your part in the story will go on.",The_Return_of_the_King
Sam,"Well, I'm back.",The_Return_of_the_King
Pippin,I didn't think it would end this way.,The_Return_of_the_King
Gandalf,"End? No, the journey doesn't end here. Death is just another path, one that we all must take. The grey rain curtain of this world rolls back and all turns to silvered glass. And then you see it.",The_Return_of_the_King
Pippin,What? Gandalf? See what?,The_Return_of_the_King
Gandalf,"White shores and beyond, a far green country under a swift sunrise.",The_Return_of_the_King
Pippin,"Well, that's not so bad.",The_Return_of_the_King
Gandalf,No. No it isn't.,The_Return_of_the_King
Theoden,Rally to me! To meeee!,The_Return_of_the_King
Witch_King,Feast on his flesh.,The_Return_of_the_King
Eowyn,I will kill you if you touch him. The City has fallen silent. There is no warmth left in the sun. It grows so cold.,The_Return_of_the_King
Faramir,It's just the damp of the first spring rain. I do not believe this darkness will endure.,The_Return_of_the_King
Sam,"Look! The Orcs, they're moving off!",The_Return_of_the_King
Saruman,Get down cur!,The_Return_of_the_King
Grima,Ah!,The_Return_of_the_King
Gandalf,Saruman! You were deep in the enemy's counsel. Tell us what you know!,The_Return_of_the_King
Saruman,You withdraw your guard and I will tell you where your doom will be decided. I will not be held prisoner here!,The_Return_of_the_King
Gandalf,Send word to all our allies and to every corner of Middle Earth that still stands free. The enemy moves against us. We need to know where he will strike.,The_Return_of_the_King
Treebeard,The filth of Saruman is washing away. Trees will come back to live here. Young trees. Wild trees.,The_Return_of_the_King
Aragorn,Pippin!,The_Return_of_the_King
Treebeard,Bless my bark!,The_Return_of_the_King
Gandalf,Peregrin Took. I'll take that my lad! Quickly now!,The_Return_of_the_King
Witch_King,Do not come between the Nazg'l and his prey.,The_Return_of_the_King
Orc,"Late as usual, pirate scum. There's knifework here needs doing. Come on you sea rats, get off your ships.",The_Return_of_the_King
Gimli,"There's plenty for the both of us, may be best Dwarf win!",The_Return_of_the_King
Witch_King,You fool! No man can kill me. Die now!,The_Return_of_the_King
Eowyn,I am no man!,The_Return_of_the_King
Sam,You see Mr. Frodo some luck at last!,The_Return_of_the_King
Orc,"Move it, you slugs! Come on! Faster! Come along you scum! I'll whip you down to the bone! Come on! What have I told you. Get up! Come on you slugs! You two are going straight to the front line! Move it, come on! Fall in! Move it! Move it! Move it! To the gate you slugs, now move it! Don't you know we're at war? Company halt! Inspection!",The_Return_of_the_King
Frodo,Sam! Help me!,The_Return_of_the_King
Sam,Mr. Frodo! Stand up Mr. Frodo. Stand up!,The_Return_of_the_King
Frodo,It's so heavy!,The_Return_of_the_King
Sam,Oh no! What do I do? What do I do?,The_Return_of_the_King
Frodo,Hit me! Hit me Sam! Start fighting!,The_Return_of_the_King
Sam,Get off of me! Nobody pushes me you filthy maggot! Get off of me!,The_Return_of_the_King
