character,dialog,movie
Faramir,Go Frodo. Go with the goodwill of all Men.,The_Two_Towers
Frodo,Thank you.,The_Two_Towers
Faramir,May death find you quickly if you bring them to harm.,The_Two_Towers
Sam,"Come on, keep up. Mr. Frodo didn't mean for them Rangers to hurt you. You know that, don't you? He was trying to save you, see?",The_Two_Towers
Gollum,Save me?,The_Two_Towers
Sam,So there's no hard feelings. Forgive and forget.,The_Two_Towers
Gollum,"No, no, no hard feelings. Gollum, Gollum. Yes, master. Nice Hobbits.",The_Two_Towers
Sam,"Very decent of you. Very decent, indeed Gollum.",The_Two_Towers
Madril,Faramir! Orcs have taken the eastern shore. Their numbers are too great. By nightfall we will be overrun.,The_Two_Towers
Sam,Mr. Frodo?,The_Two_Towers
Frodo,"It's calling to him, Sam. His Eye is almost on me.",The_Two_Towers
Sam,"Hold on, Mr. Frodo. You'll be all right.",The_Two_Towers
Faramir,Take them to my father. Tell him Faramir sends a mighty gift. A weapon that will change our fortunes in this war.,The_Two_Towers
Sam,Do you want to know what happened to Boromir? You want to know why your brother died? He tried to take the Ring from Frodo after swearing an oath to protect him! e tried to kill him! The Ring drove your brother mad!,The_Two_Towers
Soldier,Watch out!,The_Two_Towers
Sam,Mr. Frodo?,The_Two_Towers
Frodo,They're here. They've come.,The_Two_Towers
Faramir,Nazgul! Stay here. Keep out of sight. Take cover!,The_Two_Towers
Theoden,The fortress is taken. It is over.,The_Two_Towers
Aragorn,You said this fortress would never fall while your men defend it. They still defend it. They have died defending it.,The_Two_Towers
Woman,They are breaking in! They're past the door!,The_Two_Towers
Aragorn,Is there no other way for the women and children to get out of the caves? Is there no other way?,The_Two_Towers
Gamling,There is one passage. It leads into the mountains. But they will not get far. The Uruk-hai are too many.,The_Two_Towers
Aragorn,Tell the women and children to make for the mountain pass. And barricade the entrance!,The_Two_Towers
Theoden,Aragorn! Fall back to the Keep! Get your men out of there!,The_Two_Towers
Aragorn,"Nan Barad! Nan Barad! Haldir, nan Barad!",The_Two_Towers
Gimli,What are you doing? What are you stopping for?,The_Two_Towers
Haldir,Nan Barad! (To the Keep!,The_Two_Towers
Aragorn,Haldir!,The_Two_Towers
Theoden,So much death. What can Men do against such reckless hate?,The_Two_Towers
Aragorn,Ride out with me. Ride out and meet them.,The_Two_Towers
Theoden,For death and glory.,The_Two_Towers
Aragorn,For Rohan. For your people.,The_Two_Towers
Gimli,The sun is rising.,The_Two_Towers
Gandalf_Voice-over,Look to my coming at first light on the fifth day. At dawn. . . . . . Iook to the east.,The_Two_Towers
Theoden,Yes. . . . . . . . . Yes. . . . . . . . . The horn of Helm Hammerhand. . . . . . shall sound in the Deep. . . . . . one last time.,The_Two_Towers
Gimli,Yes!,The_Two_Towers
Theoden,Let this be the hour when we draw swords together. Fell deeds awake. Now for wrath. . . . . . now for ruin and a red dawn. Forth Eorlingas!,The_Two_Towers
Aragorn,Gandalf.,The_Two_Towers
Gandalf,Theoden King stands alone.,The_Two_Towers
Soldier,Brace the gate! Hold them!,The_Two_Towers
Theoden,To the gate. Draw your swords!,The_Two_Towers
Gamling,Make way! (We cannot hold much longer!,The_Two_Towers
Theoden,Hold them!,The_Two_Towers
Aragorn,How long do you need?,The_Two_Towers
Theoden,As long as you can give me.,The_Two_Towers
Aragorn,Gimli!,The_Two_Towers
Theoden,Timbers! Brace the gate!,The_Two_Towers
Gimli,Come on. We can take them.,The_Two_Towers
Aragorn,It's a long way.,The_Two_Towers
Gimli,Toss me.,The_Two_Towers
Eomer,Not alone. Rohirrim!,The_Two_Towers
Theoden,Eomer.,The_Two_Towers
Eomer,To the king!,The_Two_Towers
Pippin,Yes!,The_Two_Towers
Treebeard,A hit. A fine hit. Break the dam! Release the river!,The_Two_Towers
Merry,Pippin! Hold on!,The_Two_Towers
Treebeard,"Hold on, little Hobbits.",The_Two_Towers
Sam,What are you doing? Where are you going? It's me. It's your Sam. Don't you know your Sam?,The_Two_Towers
Aragorn,What?,The_Two_Towers
Gimli,I cannot jump the distance! You'll have to toss me! Don't tell the Elf.,The_Two_Towers
Aragorn,Not a word.,The_Two_Towers
Theoden,Shore up the door!,The_Two_Towers
Soldier,Make way! Follow me to the barricade. Watch our backs! Throw another one over here!,The_Two_Towers
Theoden,Higher!,The_Two_Towers
Soldier,Hold fast the gate!,The_Two_Towers
Theoden,Gimli! Aragorn! Get out of there!,The_Two_Towers
Legolas,Aragorn!,The_Two_Towers
Theoden,Pull everybody back. Pull them back.,The_Two_Towers
Gamling,Fall back! Fall back!,The_Two_Towers
Frodo,"I can't do this, Sam.",The_Two_Towers
Sam,"I know. It's all wrong. By rights, we shouldn't even be here. But we are. It's like in the great stories, Mr. Frodo. The ones that really mattered. Full of darkness and danger they were. And sometimes you didn't want to know the end. . . . . because how could the end be happy? How could the world go back to the way it was. . . . . . when so much bad had happened?",The_Two_Towers
Theoden,Victory! We have victory!,The_Two_Towers
Sam_Voice-over,"But in the end, it's only a passing thing. . . . . . this shadow. Even darkness must pass. A new day will come. And when the sun shines, it will shine out the clearer. Those were the stories that stayed with you. . . . . . that meant something. Even if you were too small to understand why. But I think, Mr. Frodo, I do understand. I know now.",The_Two_Towers
Sam,"Folk in those stories. . . . . . had lots of chances of turning back, only they didn't. They kept going. . . . . . because they were holding on to something.",The_Two_Towers
Frodo,"What are we holding on to, Sam?",The_Two_Towers
Sam,"That there's some good in this world, Mr. Frodo. And it's worth fighting for.",The_Two_Towers
Faramir,I think at last we understand one another Frodo Baggins.,The_Two_Towers
Madril,"You know the laws of our country, the laws of your father. If you let them go your life will be forfeit.",The_Two_Towers
Faramir,Then it is forfeit. Release them.,The_Two_Towers
Theoden,They have broken through! The castle is breached. Retreat!,The_Two_Towers
Gamling,Fall back!,The_Two_Towers
Theoden,Retreat!,The_Two_Towers
Aragorn,Hurry! Inside. Get them inside!,The_Two_Towers
Gamling,Into the Keep!,The_Two_Towers
Treebeard,I will leave you at the western borders of the forest. You can make your way north to your homeland from there.,The_Two_Towers
Pippin,Wait! Stop! Stop! Turn around. Turn around. Take us south.,The_Two_Towers
Treebeard,South? But that will lead you past lsengard.,The_Two_Towers
Pippin,"Yes. Exactly. If we go south, we can slip past Saruman unnoticed. The closer we are to danger, the farther we are from harm. It's the last thing he'll expect.",The_Two_Towers
Treebeard,That doesn't make sense to me. But then. . . . . . you are very small. Perhaps you're right. South it is then. Hold on little Shirelings. I always like going south. Somehow it feels like going downhill.,The_Two_Towers
Merry,Are you mad? We'll be caught.,The_Two_Towers
Pippin,"No, we won't. Not this time.",The_Two_Towers
Soldier,Look! Osgiliath burns! Mordor has come.,The_Two_Towers
Frodo,The Ring will not save Gondor. It has only the power to destroy. Please. . . . . . Iet me go.,The_Two_Towers
Faramir,Hurry.,The_Two_Towers
Frodo,Faramir! You must let me go!,The_Two_Towers
Treebeard,"And those little family of field mice. . . . . . that climb up sometimes, and they tickle me awfully. They're always trying to get somewhere where they. . . . Many of these trees were my friends. Creatures I had known from nut and acorn.",The_Two_Towers
Pippin,"I'm sorry, Treebeard.",The_Two_Towers
Treebeard,They had voices of their own. Saruman. A wizard should know better! There is no curse in Elvish. . . . . . Entish or the tongues of Men. . . . . . for this treachery.,The_Two_Towers
Gimli,"You could have picked a better spot. Well, lad, whatever luck you live by, let's hope it lasts the night.",The_Two_Towers
Legolas,"Your friends are with you, Aragorn.",The_Two_Towers
Gimli,Let's hope they last the night.,The_Two_Towers
Aragorn,A Eruch'n '-dano i faelas a hyn an uben tanatha le faelas!,The_Two_Towers
Gimli,What's happening out there?,The_Two_Towers
Legolas,Shall I describe it to you? Or would you like me to find you a box?,The_Two_Towers
Pippin,Look! The trees! They're moving!,The_Two_Towers
Merry,Where are they going?,The_Two_Towers
Treebeard,They have business with the Orcs. My business is with lsengard tonight. . . . . . with rock and stone.,The_Two_Towers
Merry,Yes!,The_Two_Towers
Treebeard,"Come, my friends. The Ents are going to war. It is likely. . . . . . that we go to our doom. Last march. . . . . . of the Ents.",The_Two_Towers
Theoden,So it begins.,The_Two_Towers
Aragorn,Tangado a chadad!,The_Two_Towers
Legolas,Faeg i-varv d'n na lanc a nu ranc.,The_Two_Towers
Aragorn,Leithio i philinn!,The_Two_Towers
Gimli,Did they hit anything?,The_Two_Towers
Theoden,Give them a volley.,The_Two_Towers
Gamling,Fire!,The_Two_Towers
Old_Man,Fire!,The_Two_Towers
Aragorn,Ribed bant!,The_Two_Towers
Gimli,Send them to me! Come on!,The_Two_Towers
Aragorn,Pendraith!,The_Two_Towers
Gimli,Good!,The_Two_Towers
Aragorn,Swords! Swords!,The_Two_Towers
Gimli,Legolas! Two already!,The_Two_Towers
Legolas,I'm on 17!,The_Two_Towers
Gimli,I'll have no pointy-ear outscoring me!,The_Two_Towers
Legolas,Nineteen!,The_Two_Towers
Pippin,Merry.,The_Two_Towers
Treebeard,We have just agreed.,The_Two_Towers
Merry,Yes?,The_Two_Towers
Treebeard,I have told your names to the Entmoot. . . . . . and we have agreed. . . . . . you are not Orcs.,The_Two_Towers
Pippin,"Well, that's good news.",The_Two_Towers
Merry,And what about Saruman? Have you come to a decision about him?,The_Two_Towers
Treebeard,"Now, don't be hasty, Master Meriadoc.",The_Two_Towers
Merry,Hasty? Our friends are out there. They need our help. They cannot fight this war on their own.,The_Two_Towers
Treebeard,War? Yes. It affects us all. Tree root and twig. But you must understand young Hobbit. . . . . . it takes a long time. . . . . . to say anything in Old Entish. . . . . . and we never say anything. . . . . . unless it is worth taking. . . . . . a long time to say.,The_Two_Towers
Gimli,Seventeen! Eighteen! Nineteen! Twenty! Twenty-one!,The_Two_Towers
Aragorn,Causeway!,The_Two_Towers
Theoden,Is this it? Is this is all you can conjure Saruman?,The_Two_Towers
Aragorn,"Togo hon dad, Legolas! Dago hon! Dago hon!",The_Two_Towers
Theoden,Brace the gate! Hold them! Stand firm!,The_Two_Towers
Gimli,Aragorn!,The_Two_Towers
Aragorn,Gimli! Hado i philinn! Herio!,The_Two_Towers
Treebeard,The Ents cannot hold back this storm. We must weather such things as we have always done.,The_Two_Towers
Merry,How can that be your decision?!,The_Two_Towers
Treebeard,This is not our war.,The_Two_Towers
Merry,But you're part of this world! Aren't you?! You must help. Please. You must do something.,The_Two_Towers
Treebeard,You are young and brave Master Merry. But your part in this tale is over. Go back to your home.,The_Two_Towers
Pippin,Maybe Treebeard's right. We don't belong here Merry. It's too big for us. What can we do in the end? We've got the Shire. Maybe we should go home.,The_Two_Towers
Merry,"The fires of lsengard will spread. . . . . . and the woods of Tuckborough and Buckland will burn. And. . . . And all that was once green and good in this world will be gone. There won't be a Shire, Pippin.",The_Two_Towers
Soldier,Boromir! Boromir!,The_Two_Towers
Boromir,This city was once the jewel of our kingdom. A place of light and beauty and music. And so it shall be once more! et the armies of Mordor know this: Never again will the land of my people fall into enemy hands. This city of Osgiliath has been reclaimedfor Gondor!,The_Two_Towers
Crowd,For Gondor!,The_Two_Towers
Boromir,For Gondor!,The_Two_Towers
Crowd,For Gondor!,The_Two_Towers
Boromir,For Gondor!,The_Two_Towers
Faramir,Good speech. Nice and short.,The_Two_Towers
Boromir,"Leaves more time for drinking! Break out the ale! These men are thirsty! Remember today, little brother. Today, life is good. What?",The_Two_Towers
Faramir,He's here.,The_Two_Towers
Boromir,"One moment of peace, can he not give us that?",The_Two_Towers
Denethor,Where is he? Where is Gondor's finest? Where's my first-born?,The_Two_Towers
Boromir,Father!,The_Two_Towers
Denethor,They say you vanquished the enemy almost single-handedly.,The_Two_Towers
Boromir,They exaggerate. The victory belongs to Faramir also.,The_Two_Towers
Denethor,"But for Faramir, this city would still be standing. Were you not entrusted to protect it?",The_Two_Towers
Faramir,"I would have done, but our numbers were too few.",The_Two_Towers
Denethor,"Oh, too few. You let the enemy walk in and take it on a whim. Always you cast a poor reflection on me.",The_Two_Towers
Faramir,That is not my intent.,The_Two_Towers
Boromir,"You give him no credit, and yet he tries to do your will. He loves you, Father.",The_Two_Towers
Denethor,"Do not trouble me with Faramir. . . . . . I know his uses, and they are few. We have more urgent things to speak of. Elrond of Rivendell has called a meeting. He will not say why, but I have guessed its purpose. It is rumored that the weapon of the enemy has been found.",The_Two_Towers
Boromir,The One Ring. lsildur's Bane.,The_Two_Towers
Denethor,"It has fallen into the hands of the elves. everyone will try to claim it: men, dwarves, wizards. we cannot let that happen. this thing must come to gondor.",The_Two_Towers
Boromir,Gondor.,The_Two_Towers
Denethor,"It's dangerous, I know. Ever the Ring will seek to corrupt the hearts of lesser Men. But you, you are strong. And our need is great. It is our blood which is being spilled, our people who are dying. Sauron is biding his time. He's massing fresh armies. He will return. And when he does, we will be powerless to stop him. You must go. Bring me back this mighty gift .",The_Two_Towers
Boromir,No. My place is here with my people. Not in Rivendell.,The_Two_Towers
Denethor,Would you deny your own father?,The_Two_Towers
Faramir,Lf there is need to go to rivendell. . . . . . send me in his stead.,The_Two_Towers
Denethor,"You? Oh, I see. A chance for Faramir, captain of Gondor, to show his quality. I think not. I trust this mission only to your brother. The one who will not fail me.",The_Two_Towers
Boromir,"Remember today, little brother.",The_Two_Towers
Soldier,Captain Faramir! e found the third one.,The_Two_Towers
Faramir,You must come with me. Now. Down there. To enter the Forbidden Pool bears the penalty of death. They wait for my command. Shall I shoot?,The_Two_Towers
Gollum,The rock and pool Is nice and cool So juicy sweet Our only wish To catch a fish So juicy sweet.,The_Two_Towers
Frodo,"Wait. This creature is bound to me. And I to him. He is our guide. Please. . . . . . Iet me go down to him. Smeagol. Master is here. Come, Smeagol. Trust master. Come.",The_Two_Towers
Gollum,We must go now?,The_Two_Towers
Frodo,"Smeagol, you must trust master. Follow me. Come on. Come. Come, Smeagol. Nice Smeagol. That's it. Come on. Don't hurt him! meagol, don't struggle. Smeagol, listen to me.",The_Two_Towers
Arwen,May the grace of the Valarprotect you.,The_Two_Towers
Aragorn,Brego.,The_Two_Towers
Elrond,"Arwen. Tollen i l'. I chair gwannar na Valannor. Si bado, no c'rar.",The_Two_Towers
Arwen,I have made my choice.,The_Two_Towers
Elrond,He is not coming back. Why do you linger herewhen there is no hope?,The_Two_Towers
Gollum,Master!,The_Two_Towers
Faramir,That's enough. Where are you leading them? Answer me.,The_Two_Towers
Gollum,"Smeagol. Why does it cry, Smeagol?",The_Two_Towers
Smeagol,Cruel Men hurts us. Master tricksed us.,The_Two_Towers
Gollum,Of course he did. I told you he was tricksy. I told you he was false.,The_Two_Towers
Smeagol,Master is our friend. Our friend.,The_Two_Towers
Gollum,Master betrayed us.,The_Two_Towers
Smeagol,No. Not its business. Leave us alone!,The_Two_Towers
Gollum,Filthy little Hobbitses! They stole it from us!,The_Two_Towers
Arwen,There is still hope.,The_Two_Towers
Elrond,If Aragorn survives this waryou will still be parted. If Sauron is defeatedand Aragorn made king. . . . . . and all that you hope forcomes true. . . . . . you will still have to tastethe bitterness of mortality.,The_Two_Towers
Elrond_Voice-over,"Whether by the swordor the slow decay of time. . . . . . Aragorn will die. And there will be no comfortfor you. . . . . . no comfort to ease the painof his passing. He will come to death. . . . . . an image of the splendorof the kings of Men. . . . . . in glory undimmed beforethe breaking of the world. But you, my daughter. . . . . . you will linger on in darknessand in doubt. . . . . . as nightfall in winterthat comes without a star. Here you will dwell. . . . . . bound to your griefunder the fading trees. . . . . . until all the world is changed. . . . . . and the long years of your lifeare utterly spent.",The_Two_Towers
Elrond,"Arwen. There is nothing for you here. . . . . . only death. A im, '-'erin veleth l'n?",The_Two_Towers
Arwen,"Gerich veleth n'n, ada.",The_Two_Towers
Galadriel,"I amar prestar aen... han mathon ne nen, han mathon ne chae a han noston ned 'wilith.",The_Two_Towers
Faramir,What news?,The_Two_Towers
Madril,"Our scouts report Saruman has attacked Rohan. Theoden's people have fled to Helm's Deep. But we must look to our own borders. Faramir, Orcs are on the move. Sauron is marshaling an army. Easterlings and Southrons are at the Black Gate.",The_Two_Towers
Faramir,How many?,The_Two_Towers
Madril,Some thousands. More come every day.,The_Two_Towers
Faramir,Who's covering the river to the north?,The_Two_Towers
Madril,"We pulled 500 men at Osgiliath. If their city is attacked, we won't hold it.",The_Two_Towers
Smeagol,No. No.,The_Two_Towers
Faramir,What did they steal?,The_Two_Towers
Gollum,My precious!,The_Two_Towers
Sam,"We have to get out of here. You go. Go, now. You can do it. Use the Ring, Mr. Frodo. Just this once. Put it on. Disappear.",The_Two_Towers
Frodo,"I can't. You were right, Sam. You tried to tell me but. . . . I'm sorry. The Ring's taking me, Sam. If I put it on. . . . . . he'll find me. He'll see.",The_Two_Towers
Sam,Mr. Frodo....,The_Two_Towers
Faramir,"So this is the answer to all the riddles. Here in the Wild I have you. . . . . . two Halflings. . . . . . and a host of men at my call. The Ring of Power within my grasp. A chance for Faramir, captain of Gondor. . . . . . to show his quality.",The_Two_Towers
Frodo,No!,The_Two_Towers
Sam,"Stop it! Leave him alone. Don't you understand? He's got to destroy it! That's where we're going, into Mordor. To the Mountain of Fire!",The_Two_Towers
Soldier,Osgiliath is under attack. They call for reinforcements.,The_Two_Towers
Sam,Please. It's such a burden. Will you not help him?,The_Two_Towers
Soldier,Captain?,The_Two_Towers
Faramir,Prepare to leave. The Ring will go to Gondor.,The_Two_Towers
Aragorn,"Mae carnen, Brego, mellon n'n.",The_Two_Towers
Faramir,Saruman attacks from lsengard. Sauron from Mordor. The fight will come to Men on both fronts. Gondor is weak. Sauron will strike us soon. And he will strike hard. He knows now we do not have the strength to repel him. My men tell me that you are Orc spies.,The_Two_Towers
Sam,Spies? Now wait just a minute.,The_Two_Towers
Faramir,"Well, if you're not spies, then who are you? Speak.",The_Two_Towers
Frodo,"We are Hobbits of the Shire. Frodo Baggins is my name, and this is Samwise Gamgee.",The_Two_Towers
Faramir,Your bodyguard?,The_Two_Towers
Sam,His gardener.,The_Two_Towers
Faramir,And where is your skulking friend? That gangrel creature. He had an ill-favored look.,The_Two_Towers
Frodo,"There was no other. We set out from Rivendell with seven companions. One we lost in Moria. . . . . . two were my kin. . . . . . a Dwarf there was also. And an Elf and two Men. Aragorn, son of Arathorn, and Boromir of Gondor.",The_Two_Towers
Faramir,You're a friend of Boromir?,The_Two_Towers
Frodo,Yes. For my part.,The_Two_Towers
Woman,He's alive!,The_Two_Towers
Gimli,"Where is he? Where is he? Get out of the way! I'm going to kill him! You are the luckiest, the canniest. . . . . and the most reckless man I ever knew. Bless you, laddie.",The_Two_Towers
Aragorn,"Gimli, where is the king?",The_Two_Towers
Legolas,Le abdollen. You look terrible.,The_Two_Towers
Aragorn,Hannon le.,The_Two_Towers
Theoden,"A great host, you say?",The_Two_Towers
Aragorn,All lsengard is emptied.,The_Two_Towers
Theoden,How many?,The_Two_Towers
Aragorn,Ten thousand strong at least.,The_Two_Towers
Theoden,Ten thousand?,The_Two_Towers
Aragorn,It is an army bred for a single purpose: To destroy the world of Men. They will be here by nightfall.,The_Two_Towers
Theoden,Let them come! I want every man and strong lad able to bear arms. . . . . . to be ready for battle by nightfall. We will cover the causeway and the gate from above. No army has ever breached the Deeping Wall. . . . . . or set foot inside the Hornburg!,The_Two_Towers
Faramir,It will grieve you then to learn that he is dead.,The_Two_Towers
Frodo,Dead? How? When?,The_Two_Towers
Faramir,"As one of his companions, I'd hoped you would tell me.",The_Two_Towers
Frodo,"If something has happened to Boromir, we would have you tell us.",The_Two_Towers
Faramir,"His horn washed up upon the riverbank, about six days past. It was cloven in two. But more than this, I know it in my heart. He was my brother.",The_Two_Towers
Gimli,This is no rabble of mindless Orcs. These are Uruk-hai. Their armour is thick and their shields broad.,The_Two_Towers
Theoden,"I have fought many wars, Master Dwarf. I know how to defend my own keep. They will break upon this fortress like water on rock. Saruman's hordes will pillage and burn. We've seen it before. Crops can be resown. . . . . . homes rebuilt. Within these walls. . . . . . we will outlast them.",The_Two_Towers
Aragorn,They do not come to destroy Rohan's crops or villages. They come to destroy its people. . . . . . down to the last child.,The_Two_Towers
Theoden,"What would you have me do? Look at my men. Their courage hangs by a thread. If this is to be our end, then I would have them make such an end. . . . . . as to be worthy of remembrance.",The_Two_Towers
Aragorn,"Send out riders, my lord. You must call for aid.",The_Two_Towers
Theoden,And who will come? Elves? Dwarves? We are not so lucky in our friends as you. The old alliances are dead.,The_Two_Towers
Aragorn,Gondor will answer.,The_Two_Towers
Theoden,"Gondor? ! Where was Gondor when the Westfold fell? ! Where was Gondor when our enemies closed in around us? ! Where was Gon--? No, my Lord Aragorn. . . . . . we are alone. Get the women and children into the caves.",The_Two_Towers
Gamling,We need more time to lay provisions-.,The_Two_Towers
Arwen_Voice-over,The light of the Evenstardoes not wax and wane. It is mine to give to whom I will. Like my heart. Go to sleep.,The_Two_Towers
Aragorn,I am asleep. This is a dream.,The_Two_Towers
Arwen,Then it is a good dream. Sleep.,The_Two_Towers
Aragorn,Minl' pendich nin i aur hen telitha.,The_Two_Towers
Gollum,We wants it. We needs it. Must have the precious. They stole it from us. Sneaky little Hobbitses. Wicked. Tricksy. False.,The_Two_Towers
Smeagol,No. Not master.,The_Two_Towers
Gollum,"Yes, precious. False. They will cheat you, hurt you, lie!",The_Two_Towers
Smeagol,Master's my friend.,The_Two_Towers
Gollum,You don't have any friends. Nobody likes you.,The_Two_Towers
Smeagol,Not listening. I'm not listening.,The_Two_Towers
Gollum,You're a liar and a thief.,The_Two_Towers
Smeagol,No.,The_Two_Towers
Theoden,There is no time. War is upon us. Secure the gate.,The_Two_Towers
Treebeard,"We Ents have not troubled. . . . . . about the wars of Men and wizards. . . . . . for a very long time. But now, something is about to happen. . . . . . that has not happened. . . . . . for an age. Entmoot.",The_Two_Towers
Merry,What's that?,The_Two_Towers
Treebeard,'Tis a gathering.,The_Two_Towers
Merry,A gathering of what?,The_Two_Towers
Treebeard,Beech. Oak. Chestnut. Ash. Good. Good. Good. Many have come. Now we must decide if the Ents. . . . . . will go to war.,The_Two_Towers
Arwen,' i vethed... n' i onnad. Boe bedich go Frodo. Han b'd l'n.,The_Two_Towers
Aragorn,Dolen i v'd o nin.,The_Two_Towers
Arwen,Si peliannen i v'd na dail l'n. Si boe '-dhannathach.,The_Two_Towers
Aragorn,Arwen....,The_Two_Towers
Arwen,Ae '-esteliach nad... estelio han. Estelio ammen.,The_Two_Towers
Eowyn,Where is she? The woman who gave you that jewel.,The_Two_Towers
Elrond,Our time here is ending. Arwen's time is ending. Let her go. Let her take the ship into the west. Let her bear away her love for youto the Undying Lands. There it will be ever green.,The_Two_Towers
Aragorn,But never more than memory.,The_Two_Towers
Elrond,I will not leave my daughter hereto die.,The_Two_Towers
Aragorn,She stays because she still has hope.,The_Two_Towers
Elrond,She stays for you. She belongs with her people.,The_Two_Towers
Arwen,Nach gwannatha sin? Ma nathach hi gwannathach or minuial archened?,The_Two_Towers
Gollum,Murderer.,The_Two_Towers
Smeagol,Go away.,The_Two_Towers
Gollum,Go away?,The_Two_Towers
Smeagol,I hate you. I hate you.,The_Two_Towers
Gollum,Where would you be without me? Gollum. Gollum. I saved us. It was me. We survived because of me.,The_Two_Towers
Smeagol,Not anymore.,The_Two_Towers
Gollum,What did you say?,The_Two_Towers
Smeagol,Master looks after us now. We don't need you.,The_Two_Towers
Gollum,What?,The_Two_Towers
Smeagol,Leave now. . . . . . and never come back.,The_Two_Towers
Gollum,No.,The_Two_Towers
Smeagol,Leave now and never come back. Leave now and never come back!,The_Two_Towers
Saruman,Gandalf the White. Gandalf the Fool! oes he seek to humble mewith his newfound piety?,The_Two_Towers
Grima,"There were threewho followed the wizard. An Elf, a Dwarf and a Man.",The_Two_Towers
Saruman,You stink of horse. The Man. . . . . . was he from Gondor?,The_Two_Towers
Grima,"No, from the North. One of the Dunedain RangersI thought he was. His cloth was poor. And yet he bore a strange ringTwo serpents with emerald eyes. . One devouringthe other crowned with golden flowers.",The_Two_Towers
Saruman,The Ring of Barahir. So Gandalf Greyhamethinks he has found lsildur's heir. The lost king of Gondor. He is a fool. The line was broken years ago. It matters not. The world of Men shall fall. It will begin at Edoras.,The_Two_Towers
Theoden,"I am ready, Gamling. Bring my horse. This is not a defeat. We will return. We will return.",The_Two_Towers
Aragorn,'-ethelithon.,The_Two_Towers
Arwen,Estelio guru l'n ne dagor. Ethelithach.,The_Two_Towers
Aragorn,'-bedin o gurth ne dagor.,The_Two_Towers
Arwen,O man pedich?,The_Two_Towers
Aragorn,"Edra le men, men na guil edwen. Haer o auth a n'r a naeth.",The_Two_Towers
Arwen,Why are you saying this?,The_Two_Towers
Aragorn,"I am mortal. You are Elf-kind. It was a dream, Arwen. Nothing more.",The_Two_Towers
Arwen,I don't believe you.,The_Two_Towers
Aragorn,This belongs to you.,The_Two_Towers
Arwen,It was a gift. Keep it.,The_Two_Towers
Eowyn,My lord?,The_Two_Towers
Aragorn,She is sailing to the Undying Landswith all that is left of her kin.,The_Two_Towers
Gamling,What is it? Hama?,The_Two_Towers
Hama,I'm not sure.,The_Two_Towers
Gamling,Wargs!,The_Two_Towers
Legolas,A scout!,The_Two_Towers
Smeagol,"We told him to go away. And away he goes, precious. Gone! Gone! Gone! meagol is free!",The_Two_Towers
Gollum,"Look. Look. See what Smeagol finds? They are young. They are tender. They are nice. Yes, they are. Eat them. Eat them!",The_Two_Towers
Sam,"You'll make him sick, you will. . . . . . behaving like that. There's only one way to eata brace of coneys.",The_Two_Towers
Gollum,"What's it doing? Stupid, fat Hobbit. It ruins it.",The_Two_Towers
Sam,What's to ruin? There's hardly any meaton them. What we need is a few good taters.,The_Two_Towers
Gollum,"What's taters, precious? What's taters? Eh?",The_Two_Towers
Sam,"Po-ta-toes. Boil them, mash themstick them in a stew. Lovely, big, golden chipswith a nice piece of fried fish. Even you couldn't say no to that.",The_Two_Towers
Gollum,"Oh, yes, we could. Spoil a nice fish. Give it to us raw. . . . . . and wriggling. You keep nasty chips.",The_Two_Towers
Sam,You're hopeless. Mr. Frodo? Who are they?,The_Two_Towers
Aragorn,You have some skill with a blade.,The_Two_Towers
Eowyn,Women of this country learned long ago:Those without swordscan still die upon them. I fear neither death nor pain.,The_Two_Towers
Aragorn,"What do you fear, my lady?",The_Two_Towers
Eowyn,A cage. To stay behind bars until useand old age accept them. And all chance of valor has gonebeyond recall or desire.,The_Two_Towers
Aragorn,You're a daughter of kings. . . . . . a shieldmaiden of Rohan. I do not think that would be your fate.,The_Two_Towers
Grima,Theoden will not stay at Edoras. It's vulnerable. He knows this. He will expect an attack on the city. They will flee to Helm's Deep. . . . . . the great fortress of Rohan. It is a dangerous road to takethrough the mountains. They will be slow. They will have women and childrenwith them.,The_Two_Towers
Saruman,Send out your Warg-riders.,The_Two_Towers
Sam,"Hey, stinker, don't go gettingtoo far ahead.",The_Two_Towers
Frodo,Why do you do that?,The_Two_Towers
Sam,What?,The_Two_Towers
Frodo,Call him names. Run him down all the time.,The_Two_Towers
Sam,"Because. Because that's what he is, Mr. Frodo. There's naught left in himbut lies and deceit. It's the Ring he wants. It's all he cares about.",The_Two_Towers
Frodo,"You have no idea what it did to him. . . . . . what it's still doing to him. I want to help him, Sam.",The_Two_Towers
Sam,Why?,The_Two_Towers
Theoden,What is it? What do you see?,The_Two_Towers
Aragorn,Warg! We're under attack! Get them out of here!,The_Two_Towers
Theoden,All riders to the head of the column.,The_Two_Towers
Gimli,Come on. Get me up here. I'm a rider. Come on!,The_Two_Towers
Theoden,"You must lead the peopleto Helm's Deep, and make haste.",The_Two_Towers
Eowyn,I can fight.,The_Two_Towers
Theoden,"No! ou must do this, for me. Follow me!",The_Two_Towers
Gimli,"Forward. I mean, charge forward.",The_Two_Towers
Eowyn,Make for the lower ground!,The_Two_Towers
Gimli,That's it! Go on!,The_Two_Towers
Eowyn,Stay together!,The_Two_Towers
Gimli,Bring your pretty face to my axe.,The_Two_Towers
Gollum,Wicked Men. Servants of Sauron. They are called to Mordor. The Dark One is gathering all armiesto him. It won't be long now. He will soon be ready.,The_Two_Towers
